,GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM,Game #
253,Shot Chart Detail,41700301,8,2544,LeBron James,1610612739,Cleveland Cavaliers,1,11,29,Made Shot,Turnaround Fadeaway shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,10,-87,56,1,1,20180513,BOS,CLE,1.0
254,Shot Chart Detail,41700301,42,2544,LeBron James,1610612739,Cleveland Cavaliers,1,8,41,Missed Shot,Driving Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,-29,9,1,0,20180513,BOS,CLE,1.0
255,Shot Chart Detail,41700301,87,2544,LeBron James,1610612739,Cleveland Cavaliers,1,4,58,Missed Shot,Step Back Jump shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,26,-180,194,1,0,20180513,BOS,CLE,1.0
256,Shot Chart Detail,41700301,91,2544,LeBron James,1610612739,Cleveland Cavaliers,1,4,35,Made Shot,Driving Floating Bank Jump Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,-29,19,1,1,20180513,BOS,CLE,1.0
257,Shot Chart Detail,41700301,95,2544,LeBron James,1610612739,Cleveland Cavaliers,1,3,43,Missed Shot,Turnaround Fadeaway shot,2PT Field Goal,Mid-Range,Left Side(L),16-24 ft.,18,-184,-11,1,0,20180513,BOS,CLE,1.0
258,Shot Chart Detail,41700301,119,2544,LeBron James,1610612739,Cleveland Cavaliers,1,2,25,Missed Shot,Turnaround Fadeaway shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,12,-46,117,1,0,20180513,BOS,CLE,1.0
259,Shot Chart Detail,41700301,220,2544,LeBron James,1610612739,Cleveland Cavaliers,2,6,49,Made Shot,Turnaround Fadeaway shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,10,-84,61,1,1,20180513,BOS,CLE,1.0
260,Shot Chart Detail,41700301,223,2544,LeBron James,1610612739,Cleveland Cavaliers,2,6,20,Missed Shot,Fadeaway Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,7,-40,66,1,0,20180513,BOS,CLE,1.0
261,Shot Chart Detail,41700301,317,2544,LeBron James,1610612739,Cleveland Cavaliers,3,9,55,Made Shot,Cutting Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-6,4,1,1,20180513,BOS,CLE,1.0
262,Shot Chart Detail,41700301,331,2544,LeBron James,1610612739,Cleveland Cavaliers,3,8,22,Missed Shot,Pullup Jump shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,28,-168,227,1,0,20180513,BOS,CLE,1.0
263,Shot Chart Detail,41700301,351,2544,LeBron James,1610612739,Cleveland Cavaliers,3,6,8,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,-154,207,1,0,20180513,BOS,CLE,1.0
264,Shot Chart Detail,41700301,359,2544,LeBron James,1610612739,Cleveland Cavaliers,3,5,4,Missed Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-12,16,1,0,20180513,BOS,CLE,1.0
265,Shot Chart Detail,41700301,387,2544,LeBron James,1610612739,Cleveland Cavaliers,3,2,18,Made Shot,Driving Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-11,12,1,1,20180513,BOS,CLE,1.0
266,Shot Chart Detail,41700301,451,2544,LeBron James,1610612739,Cleveland Cavaliers,4,10,40,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Center(C),8-16 ft.,15,54,141,1,0,20180513,BOS,CLE,1.0
267,Shot Chart Detail,41700301,462,2544,LeBron James,1610612739,Cleveland Cavaliers,4,9,11,Missed Shot,Pullup Jump shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,27,-117,251,1,0,20180513,BOS,CLE,1.0
268,Shot Chart Detail,41700301,474,2544,LeBron James,1610612739,Cleveland Cavaliers,4,8,5,Missed Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,24,230,76,1,0,20180513,BOS,CLE,1.0
269,Shot Chart Detail,41700302,14,2544,LeBron James,1610612739,Cleveland Cavaliers,1,10,38,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,6,19,1,1,20180515,BOS,CLE,2.0
270,Shot Chart Detail,41700302,35,2544,LeBron James,1610612739,Cleveland Cavaliers,1,8,29,Made Shot,Pullup Jump shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,27,-31,269,1,1,20180515,BOS,CLE,2.0
271,Shot Chart Detail,41700302,38,2544,LeBron James,1610612739,Cleveland Cavaliers,1,8,1,Made Shot,Pullup Jump shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,26,-150,221,1,1,20180515,BOS,CLE,2.0
272,Shot Chart Detail,41700302,48,2544,LeBron James,1610612739,Cleveland Cavaliers,1,6,59,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,28,149,243,1,0,20180515,BOS,CLE,2.0
273,Shot Chart Detail,41700302,55,2544,LeBron James,1610612739,Cleveland Cavaliers,1,6,24,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,28,-123,256,1,1,20180515,BOS,CLE,2.0
274,Shot Chart Detail,41700302,63,2544,LeBron James,1610612739,Cleveland Cavaliers,1,5,19,Made Shot,Driving Hook Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,24,32,1,1,20180515,BOS,CLE,2.0
275,Shot Chart Detail,41700302,77,2544,LeBron James,1610612739,Cleveland Cavaliers,1,4,25,Made Shot,Fadeaway Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,12,-123,30,1,1,20180515,BOS,CLE,2.0
276,Shot Chart Detail,41700302,81,2544,LeBron James,1610612739,Cleveland Cavaliers,1,3,37,Made Shot,Turnaround Fadeaway shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,24,-220,110,1,1,20180515,BOS,CLE,2.0
277,Shot Chart Detail,41700302,87,2544,LeBron James,1610612739,Cleveland Cavaliers,1,3,13,Missed Shot,Pullup Jump shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,25,-33,257,1,0,20180515,BOS,CLE,2.0
278,Shot Chart Detail,41700302,109,2544,LeBron James,1610612739,Cleveland Cavaliers,1,1,51,Missed Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-18,14,1,0,20180515,BOS,CLE,2.0
279,Shot Chart Detail,41700302,111,2544,LeBron James,1610612739,Cleveland Cavaliers,1,1,50,Made Shot,Tip Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,-6,1,1,20180515,BOS,CLE,2.0
280,Shot Chart Detail,41700302,114,2544,LeBron James,1610612739,Cleveland Cavaliers,1,1,14,Missed Shot,Turnaround Fadeaway shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,12,-122,15,1,0,20180515,BOS,CLE,2.0
281,Shot Chart Detail,41700302,120,2544,LeBron James,1610612739,Cleveland Cavaliers,1,0,37,Missed Shot,Pullup Jump shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,27,-16,271,1,0,20180515,BOS,CLE,2.0
282,Shot Chart Detail,41700302,194,2544,LeBron James,1610612739,Cleveland Cavaliers,2,7,20,Missed Shot,Turnaround Fadeaway shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,15,-143,48,1,0,20180515,BOS,CLE,2.0
283,Shot Chart Detail,41700302,204,2544,LeBron James,1610612739,Cleveland Cavaliers,2,6,2,Made Shot,Fadeaway Jump Shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,19,-135,146,1,1,20180515,BOS,CLE,2.0
284,Shot Chart Detail,41700302,315,2544,LeBron James,1610612739,Cleveland Cavaliers,3,11,27,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,-32,8,1,1,20180515,BOS,CLE,2.0
