,GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM,Game #
150,Shot Chart Detail,41700201,21,2544,LeBron James,1610612739,Cleveland Cavaliers,1,9,52,Made Shot,Driving Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-4,4,1,1,20180501,TOR,CLE,1.0
151,Shot Chart Detail,41700201,69,2544,LeBron James,1610612739,Cleveland Cavaliers,1,5,53,Missed Shot,Fadeaway Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,10,22,103,1,0,20180501,TOR,CLE,1.0
152,Shot Chart Detail,41700201,83,2544,LeBron James,1610612739,Cleveland Cavaliers,1,4,52,Made Shot,Reverse Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,14,-4,1,1,20180501,TOR,CLE,1.0
153,Shot Chart Detail,41700201,98,2544,LeBron James,1610612739,Cleveland Cavaliers,1,3,55,Made Shot,Turnaround Fadeaway shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,12,-120,26,1,1,20180501,TOR,CLE,1.0
154,Shot Chart Detail,41700201,101,2544,LeBron James,1610612739,Cleveland Cavaliers,1,3,31,Missed Shot,Driving Floating Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,10,-25,101,1,0,20180501,TOR,CLE,1.0
155,Shot Chart Detail,41700201,190,2544,LeBron James,1610612739,Cleveland Cavaliers,2,8,42,Made Shot,Turnaround Hook Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,-11,45,1,1,20180501,TOR,CLE,1.0
156,Shot Chart Detail,41700201,240,2544,LeBron James,1610612739,Cleveland Cavaliers,2,5,28,Made Shot,Driving Reverse Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,9,0,1,1,20180501,TOR,CLE,1.0
157,Shot Chart Detail,41700201,264,2544,LeBron James,1610612739,Cleveland Cavaliers,2,3,32,Missed Shot,Pullup Jump shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,24,-178,164,1,0,20180501,TOR,CLE,1.0
158,Shot Chart Detail,41700201,325,2544,LeBron James,1610612739,Cleveland Cavaliers,3,9,57,Made Shot,Fadeaway Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),16-24 ft.,17,154,75,1,1,20180501,TOR,CLE,1.0
159,Shot Chart Detail,41700201,328,2544,LeBron James,1610612739,Cleveland Cavaliers,3,9,18,Missed Shot,Fadeaway Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),16-24 ft.,17,173,34,1,0,20180501,TOR,CLE,1.0
