,GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM,Game #
417,Shot Chart Detail,41700401,11,2544,LeBron James,1610612739,Cleveland Cavaliers,1,11,10,Made Shot,Driving Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,12,24,1,1,20180531,GSW,CLE,1.0
418,Shot Chart Detail,41700401,43,2544,LeBron James,1610612739,Cleveland Cavaliers,1,7,42,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,26,78,255,1,1,20180531,GSW,CLE,1.0
419,Shot Chart Detail,41700401,46,2544,LeBron James,1610612739,Cleveland Cavaliers,1,7,18,Made Shot,Running Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,-3,46,1,1,20180531,GSW,CLE,1.0
420,Shot Chart Detail,41700401,66,2544,LeBron James,1610612739,Cleveland Cavaliers,1,5,44,Made Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,21,116,176,1,1,20180531,GSW,CLE,1.0
421,Shot Chart Detail,41700401,153,2544,LeBron James,1610612739,Cleveland Cavaliers,2,11,41,Made Shot,Driving Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,6,15,1,1,20180531,GSW,CLE,1.0
422,Shot Chart Detail,41700401,169,2544,LeBron James,1610612739,Cleveland Cavaliers,2,10,13,Made Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,21,-161,136,1,1,20180531,GSW,CLE,1.0
423,Shot Chart Detail,41700401,177,2544,LeBron James,1610612739,Cleveland Cavaliers,2,9,0,Missed Shot,Fadeaway Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,15,-114,100,1,0,20180531,GSW,CLE,1.0
424,Shot Chart Detail,41700401,191,2544,LeBron James,1610612739,Cleveland Cavaliers,2,7,55,Made Shot,Driving Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,13,10,1,1,20180531,GSW,CLE,1.0
425,Shot Chart Detail,41700401,199,2544,LeBron James,1610612739,Cleveland Cavaliers,2,7,22,Made Shot,Driving Finger Roll Layup Shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,9,90,36,1,1,20180531,GSW,CLE,1.0
426,Shot Chart Detail,41700401,262,2544,LeBron James,1610612739,Cleveland Cavaliers,2,2,3,Missed Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,-19,25,1,0,20180531,GSW,CLE,1.0
427,Shot Chart Detail,41700401,266,2544,LeBron James,1610612739,Cleveland Cavaliers,2,1,57,Made Shot,Tip Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,-6,1,1,20180531,GSW,CLE,1.0
