,GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM,Game #
1570,Shot Chart Detail,41700111,22,1628369,Jayson Tatum,1610612738,Boston Celtics,1,9,59,Made Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Center(C),16-24 ft.,18,-30,183,1,1,20180415,BOS,MIL,1.0
1571,Shot Chart Detail,41700111,39,1628369,Jayson Tatum,1610612738,Boston Celtics,1,8,26,Made Shot,Running Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,7,1,1,20180415,BOS,MIL,1.0
1572,Shot Chart Detail,41700111,60,1628369,Jayson Tatum,1610612738,Boston Celtics,1,5,10,Made Shot,Driving Floating Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,13,-14,132,1,1,20180415,BOS,MIL,1.0
1573,Shot Chart Detail,41700111,68,1628369,Jayson Tatum,1610612738,Boston Celtics,1,3,56,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,16,12,1,1,20180415,BOS,MIL,1.0
1574,Shot Chart Detail,41700111,181,1628369,Jayson Tatum,1610612738,Boston Celtics,2,9,17,Missed Shot,Turnaround Fadeaway shot,2PT Field Goal,Mid-Range,Center(C),8-16 ft.,15,30,153,1,0,20180415,BOS,MIL,1.0
1575,Shot Chart Detail,41700111,204,1628369,Jayson Tatum,1610612738,Boston Celtics,2,7,24,Missed Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,20,-71,195,1,0,20180415,BOS,MIL,1.0
1576,Shot Chart Detail,41700111,259,1628369,Jayson Tatum,1610612738,Boston Celtics,2,3,33,Missed Shot,Driving Finger Roll Layup Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,-34,29,1,0,20180415,BOS,MIL,1.0
1577,Shot Chart Detail,41700111,297,1628369,Jayson Tatum,1610612738,Boston Celtics,2,0,56,Missed Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,22,226,1,1,0,20180415,BOS,MIL,1.0
1578,Shot Chart Detail,41700111,323,1628369,Jayson Tatum,1610612738,Boston Celtics,3,10,49,Missed Shot,Driving Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-14,10,1,0,20180415,BOS,MIL,1.0
1579,Shot Chart Detail,41700111,347,1628369,Jayson Tatum,1610612738,Boston Celtics,3,8,30,Missed Shot,Step Back Jump shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,26,119,237,1,0,20180415,BOS,MIL,1.0
1580,Shot Chart Detail,41700111,376,1628369,Jayson Tatum,1610612738,Boston Celtics,3,6,53,Missed Shot,Layup Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,36,43,1,0,20180415,BOS,MIL,1.0
1581,Shot Chart Detail,41700111,444,1628369,Jayson Tatum,1610612738,Boston Celtics,3,0,15,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,27,19,273,1,1,20180415,BOS,MIL,1.0
1582,Shot Chart Detail,41700111,460,1628369,Jayson Tatum,1610612738,Boston Celtics,4,11,18,Made Shot,Turnaround Fadeaway shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,12,-120,21,1,1,20180415,BOS,MIL,1.0
1583,Shot Chart Detail,41700111,465,1628369,Jayson Tatum,1610612738,Boston Celtics,4,10,40,Made Shot,Driving Floating Bank Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,9,29,87,1,1,20180415,BOS,MIL,1.0
1584,Shot Chart Detail,41700111,494,1628369,Jayson Tatum,1610612738,Boston Celtics,4,8,45,Missed Shot,Driving Floating Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,6,24,61,1,0,20180415,BOS,MIL,1.0
1585,Shot Chart Detail,41700111,568,1628369,Jayson Tatum,1610612738,Boston Celtics,4,3,16,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),16-24 ft.,21,-199,86,1,0,20180415,BOS,MIL,1.0
1586,Shot Chart Detail,41700111,577,1628369,Jayson Tatum,1610612738,Boston Celtics,4,2,46,Missed Shot,Turnaround Jump Shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,23,-73,220,1,0,20180415,BOS,MIL,1.0
1587,Shot Chart Detail,41700111,668,1628369,Jayson Tatum,1610612738,Boston Celtics,5,1,22,Made Shot,Driving Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-18,4,1,1,20180415,BOS,MIL,1.0
1588,Shot Chart Detail,41700112,15,1628369,Jayson Tatum,1610612738,Boston Celtics,1,11,2,Missed Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,20,-134,155,1,0,20180417,BOS,MIL,2.0
1589,Shot Chart Detail,41700112,23,1628369,Jayson Tatum,1610612738,Boston Celtics,1,10,10,Missed Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,23,-230,25,1,0,20180417,BOS,MIL,2.0
1590,Shot Chart Detail,41700112,68,1628369,Jayson Tatum,1610612738,Boston Celtics,1,6,0,Missed Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-9,18,1,0,20180417,BOS,MIL,2.0
1591,Shot Chart Detail,41700112,198,1628369,Jayson Tatum,1610612738,Boston Celtics,2,9,52,Missed Shot,Driving Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,10,12,1,0,20180417,BOS,MIL,2.0
1592,Shot Chart Detail,41700112,205,1628369,Jayson Tatum,1610612738,Boston Celtics,2,9,23,Missed Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,22,226,7,1,0,20180417,BOS,MIL,2.0
1593,Shot Chart Detail,41700112,231,1628369,Jayson Tatum,1610612738,Boston Celtics,2,7,11,Missed Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,13,6,1,0,20180417,BOS,MIL,2.0
1594,Shot Chart Detail,41700112,339,1628369,Jayson Tatum,1610612738,Boston Celtics,3,11,8,Made Shot,Running Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,12,15,1,1,20180417,BOS,MIL,2.0
1595,Shot Chart Detail,41700112,390,1628369,Jayson Tatum,1610612738,Boston Celtics,3,4,49,Missed Shot,Driving Floating Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,-23,33,1,0,20180417,BOS,MIL,2.0
1596,Shot Chart Detail,41700112,501,1628369,Jayson Tatum,1610612738,Boston Celtics,4,9,30,Made Shot,Driving Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-2,9,1,1,20180417,BOS,MIL,2.0
1597,Shot Chart Detail,41700113,30,1628369,Jayson Tatum,1610612738,Boston Celtics,1,9,11,Made Shot,Driving Floating Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,6,60,33,1,1,20180420,MIL,BOS,3.0
1598,Shot Chart Detail,41700113,52,1628369,Jayson Tatum,1610612738,Boston Celtics,1,7,34,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,26,-180,188,1,0,20180420,MIL,BOS,3.0
1599,Shot Chart Detail,41700113,158,1628369,Jayson Tatum,1610612738,Boston Celtics,1,0,44,Missed Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,16,18,1,0,20180420,MIL,BOS,3.0
1600,Shot Chart Detail,41700113,196,1628369,Jayson Tatum,1610612738,Boston Celtics,2,10,32,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,18,18,1,1,20180420,MIL,BOS,3.0
1601,Shot Chart Detail,41700113,347,1628369,Jayson Tatum,1610612738,Boston Celtics,3,10,41,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,183,180,1,0,20180420,MIL,BOS,3.0
1602,Shot Chart Detail,41700113,371,1628369,Jayson Tatum,1610612738,Boston Celtics,3,8,20,Missed Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-3,15,1,0,20180420,MIL,BOS,3.0
1603,Shot Chart Detail,41700113,402,1628369,Jayson Tatum,1610612738,Boston Celtics,3,6,24,Made Shot,Running Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-9,-6,1,1,20180420,MIL,BOS,3.0
1604,Shot Chart Detail,41700113,405,1628369,Jayson Tatum,1610612738,Boston Celtics,3,5,57,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,7,13,1,1,20180420,MIL,BOS,3.0
1605,Shot Chart Detail,41700113,418,1628369,Jayson Tatum,1610612738,Boston Celtics,3,4,51,Missed Shot,Running Jump Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,-10,29,1,0,20180420,MIL,BOS,3.0
1606,Shot Chart Detail,41700113,431,1628369,Jayson Tatum,1610612738,Boston Celtics,3,3,6,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,25,62,250,1,1,20180420,MIL,BOS,3.0
1607,Shot Chart Detail,41700113,486,1628369,Jayson Tatum,1610612738,Boston Celtics,3,0,0,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),16-24 ft.,19,180,84,1,0,20180420,MIL,BOS,3.0
1608,Shot Chart Detail,41700114,62,1628369,Jayson Tatum,1610612738,Boston Celtics,1,7,22,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,17,78,158,1,1,20180422,MIL,BOS,4.0
1609,Shot Chart Detail,41700114,168,1628369,Jayson Tatum,1610612738,Boston Celtics,2,11,24,Missed Shot,Fadeaway Jump Shot,2PT Field Goal,Mid-Range,Center(C),8-16 ft.,14,-46,141,1,0,20180422,MIL,BOS,4.0
1610,Shot Chart Detail,41700114,182,1628369,Jayson Tatum,1610612738,Boston Celtics,2,10,12,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Center(C),16-24 ft.,18,-32,178,1,0,20180422,MIL,BOS,4.0
1611,Shot Chart Detail,41700114,219,1628369,Jayson Tatum,1610612738,Boston Celtics,2,6,56,Missed Shot,Driving Layup Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,7,43,63,1,0,20180422,MIL,BOS,4.0
1612,Shot Chart Detail,41700114,331,1628369,Jayson Tatum,1610612738,Boston Celtics,2,0,22,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,-220,120,1,0,20180422,MIL,BOS,4.0
1613,Shot Chart Detail,41700114,364,1628369,Jayson Tatum,1610612738,Boston Celtics,3,8,50,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,11,112,-32,1,1,20180422,MIL,BOS,4.0
1614,Shot Chart Detail,41700114,383,1628369,Jayson Tatum,1610612738,Boston Celtics,3,7,44,Missed Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,-11,30,1,0,20180422,MIL,BOS,4.0
1615,Shot Chart Detail,41700114,393,1628369,Jayson Tatum,1610612738,Boston Celtics,3,7,18,Made Shot,Alley Oop Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-3,11,1,1,20180422,MIL,BOS,4.0
1616,Shot Chart Detail,41700114,401,1628369,Jayson Tatum,1610612738,Boston Celtics,3,5,55,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-6,10,1,1,20180422,MIL,BOS,4.0
1617,Shot Chart Detail,41700114,431,1628369,Jayson Tatum,1610612738,Boston Celtics,3,3,26,Made Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,23,-230,10,1,1,20180422,MIL,BOS,4.0
1618,Shot Chart Detail,41700114,442,1628369,Jayson Tatum,1610612738,Boston Celtics,3,1,56,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,26,179,195,1,0,20180422,MIL,BOS,4.0
1619,Shot Chart Detail,41700114,472,1628369,Jayson Tatum,1610612738,Boston Celtics,3,0,14,Missed Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,7,19,1,0,20180422,MIL,BOS,4.0
1620,Shot Chart Detail,41700114,553,1628369,Jayson Tatum,1610612738,Boston Celtics,4,6,48,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,27,-2,276,1,1,20180422,MIL,BOS,4.0
1621,Shot Chart Detail,41700114,560,1628369,Jayson Tatum,1610612738,Boston Celtics,4,5,43,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,27,145,232,1,0,20180422,MIL,BOS,4.0
1622,Shot Chart Detail,41700114,610,1628369,Jayson Tatum,1610612738,Boston Celtics,4,1,59,Missed Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-6,19,1,0,20180422,MIL,BOS,4.0
1623,Shot Chart Detail,41700114,621,1628369,Jayson Tatum,1610612738,Boston Celtics,4,0,52,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Center(C),16-24 ft.,17,52,162,1,1,20180422,MIL,BOS,4.0
1624,Shot Chart Detail,41700115,22,1628369,Jayson Tatum,1610612738,Boston Celtics,1,10,12,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,172,184,1,0,20180424,BOS,MIL,5.0
1625,Shot Chart Detail,41700115,48,1628369,Jayson Tatum,1610612738,Boston Celtics,1,7,49,Made Shot,Floating Jump shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,7,38,67,1,1,20180424,BOS,MIL,5.0
1626,Shot Chart Detail,41700115,207,1628369,Jayson Tatum,1610612738,Boston Celtics,2,8,11,Missed Shot,Turnaround Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,12,8,127,1,0,20180424,BOS,MIL,5.0
1627,Shot Chart Detail,41700115,260,1628369,Jayson Tatum,1610612738,Boston Celtics,2,4,23,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,109,225,1,1,20180424,BOS,MIL,5.0
1628,Shot Chart Detail,41700115,380,1628369,Jayson Tatum,1610612738,Boston Celtics,3,7,22,Missed Shot,Driving Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,3,34,1,0,20180424,BOS,MIL,5.0
1629,Shot Chart Detail,41700115,492,1628369,Jayson Tatum,1610612738,Boston Celtics,4,11,40,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,25,29,257,1,0,20180424,BOS,MIL,5.0
