,GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM,Game #
569,Shot Chart Detail,41700231,9,201142,Kevin Durant,1610612744,Golden State Warriors,1,11,19,Made Shot,Driving Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,6,16,1,1,20180428,GSW,NOP,1.0
570,Shot Chart Detail,41700231,36,201142,Kevin Durant,1610612744,Golden State Warriors,1,9,0,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,27,162,218,1,0,20180428,GSW,NOP,1.0
571,Shot Chart Detail,41700231,40,201142,Kevin Durant,1610612744,Golden State Warriors,1,8,48,Made Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,13,44,123,1,1,20180428,GSW,NOP,1.0
572,Shot Chart Detail,41700231,45,201142,Kevin Durant,1610612744,Golden State Warriors,1,8,28,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,19,70,181,1,0,20180428,GSW,NOP,1.0
573,Shot Chart Detail,41700231,61,201142,Kevin Durant,1610612744,Golden State Warriors,1,6,36,Made Shot,Cutting Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,2,21,1,1,20180428,GSW,NOP,1.0
574,Shot Chart Detail,41700231,66,201142,Kevin Durant,1610612744,Golden State Warriors,1,5,58,Missed Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,9,26,89,1,0,20180428,GSW,NOP,1.0
575,Shot Chart Detail,41700231,70,201142,Kevin Durant,1610612744,Golden State Warriors,1,5,55,Missed Shot,Tip Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,-6,1,0,20180428,GSW,NOP,1.0
576,Shot Chart Detail,41700231,173,201142,Kevin Durant,1610612744,Golden State Warriors,1,5,52,Missed Shot,Tip Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-2,7,1,0,20180428,GSW,NOP,1.0
577,Shot Chart Detail,41700231,101,201142,Kevin Durant,1610612744,Golden State Warriors,1,4,5,Made Shot,Fadeaway Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,26,-169,206,1,1,20180428,GSW,NOP,1.0
578,Shot Chart Detail,41700231,128,201142,Kevin Durant,1610612744,Golden State Warriors,1,3,2,Made Shot,Fadeaway Jump Shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,18,124,133,1,1,20180428,GSW,NOP,1.0
579,Shot Chart Detail,41700231,140,201142,Kevin Durant,1610612744,Golden State Warriors,1,2,18,Missed Shot,Pullup Jump shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,28,-71,277,1,0,20180428,GSW,NOP,1.0
580,Shot Chart Detail,41700231,165,201142,Kevin Durant,1610612744,Golden State Warriors,1,0,36,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,15,102,122,1,0,20180428,GSW,NOP,1.0
