,GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM,Game #
976,Shot Chart Detail,41700221,8,201935,James Harden,1610612745,Houston Rockets,1,11,21,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-27,13,1,1,20180429,HOU,UTA,1.0
977,Shot Chart Detail,41700221,30,201935,James Harden,1610612745,Houston Rockets,1,9,7,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,25,58,253,1,0,20180429,HOU,UTA,1.0
978,Shot Chart Detail,41700221,51,201935,James Harden,1610612745,Houston Rockets,1,7,19,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-15,10,1,1,20180429,HOU,UTA,1.0
979,Shot Chart Detail,41700221,86,201935,James Harden,1610612745,Houston Rockets,1,4,16,Made Shot,Step Back Jump shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,26,-144,222,1,1,20180429,HOU,UTA,1.0
980,Shot Chart Detail,41700221,89,201935,James Harden,1610612745,Houston Rockets,1,3,35,Missed Shot,Step Back Jump shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,17,136,105,1,0,20180429,HOU,UTA,1.0
981,Shot Chart Detail,41700221,94,201935,James Harden,1610612745,Houston Rockets,1,3,5,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,16,14,1,1,20180429,HOU,UTA,1.0
982,Shot Chart Detail,41700221,209,201935,James Harden,1610612745,Houston Rockets,2,7,11,Made Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,22,228,22,1,1,20180429,HOU,UTA,1.0
983,Shot Chart Detail,41700221,237,201935,James Harden,1610612745,Houston Rockets,2,5,15,Missed Shot,Step Back Jump shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,199,167,1,0,20180429,HOU,UTA,1.0
984,Shot Chart Detail,41700221,254,201935,James Harden,1610612745,Houston Rockets,2,3,36,Missed Shot,Fadeaway Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,11,-108,27,1,0,20180429,HOU,UTA,1.0
985,Shot Chart Detail,41700221,263,201935,James Harden,1610612745,Houston Rockets,2,3,16,Missed Shot,Driving Floating Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,9,-33,84,1,0,20180429,HOU,UTA,1.0
