,GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM,Game #
1662,Shot Chart Detail,41700211,13,1628369,Jayson Tatum,1610612738,Boston Celtics,1,10,46,Missed Shot,Fadeaway Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),16-24 ft.,17,-171,-5,1,0,20180430,BOS,PHI,1.0
1663,Shot Chart Detail,41700211,33,1628369,Jayson Tatum,1610612738,Boston Celtics,1,8,49,Made Shot,Driving Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,8,10,1,1,20180430,BOS,PHI,1.0
1664,Shot Chart Detail,41700211,46,1628369,Jayson Tatum,1610612738,Boston Celtics,1,7,58,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,26,149,217,1,0,20180430,BOS,PHI,1.0
1665,Shot Chart Detail,41700211,167,1628369,Jayson Tatum,1610612738,Boston Celtics,2,11,37,Made Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,17,-113,136,1,1,20180430,BOS,PHI,1.0
1666,Shot Chart Detail,41700211,179,1628369,Jayson Tatum,1610612738,Boston Celtics,2,10,33,Missed Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,19,116,160,1,0,20180430,BOS,PHI,1.0
1667,Shot Chart Detail,41700211,245,1628369,Jayson Tatum,1610612738,Boston Celtics,2,4,51,Made Shot,Driving Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,13,10,1,1,20180430,BOS,PHI,1.0
1668,Shot Chart Detail,41700211,268,1628369,Jayson Tatum,1610612738,Boston Celtics,2,3,12,Made Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,22,-229,-8,1,1,20180430,BOS,PHI,1.0
1669,Shot Chart Detail,41700211,286,1628369,Jayson Tatum,1610612738,Boston Celtics,2,1,27,Made Shot,Cutting Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-1,12,1,1,20180430,BOS,PHI,1.0
1670,Shot Chart Detail,41700211,314,1628369,Jayson Tatum,1610612738,Boston Celtics,3,11,43,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Center(C),16-24 ft.,16,12,160,1,0,20180430,BOS,PHI,1.0
1671,Shot Chart Detail,41700211,330,1628369,Jayson Tatum,1610612738,Boston Celtics,3,9,50,Missed Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,23,236,25,1,0,20180430,BOS,PHI,1.0
1672,Shot Chart Detail,41700211,339,1628369,Jayson Tatum,1610612738,Boston Celtics,3,9,19,Made Shot,Cutting Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,3,13,1,1,20180430,BOS,PHI,1.0
1673,Shot Chart Detail,41700211,370,1628369,Jayson Tatum,1610612738,Boston Celtics,3,5,57,Missed Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,23,-230,-4,1,0,20180430,BOS,PHI,1.0
1674,Shot Chart Detail,41700211,396,1628369,Jayson Tatum,1610612738,Boston Celtics,3,4,14,Made Shot,Running Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,-2,1,1,20180430,BOS,PHI,1.0
1675,Shot Chart Detail,41700211,469,1628369,Jayson Tatum,1610612738,Boston Celtics,3,0,1,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,27,111,250,1,0,20180430,BOS,PHI,1.0
1676,Shot Chart Detail,41700211,528,1628369,Jayson Tatum,1610612738,Boston Celtics,4,8,55,Missed Shot,Reverse Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-8,25,1,0,20180430,BOS,PHI,1.0
